"ID","scientific_name","common_name","latitude","longitude","iso_country_code","taxon_id","year","basis_of_record","provider","resource","occurrence_date","collector","SPACER","id","type","language","institutionCode","collectionCode","basisOfRecord","catalogNumber","occurrenceRemarks","recordedBy","individualCount","samplingProtocol","eventDate","year.orig","month","day","verbatimEventDate","country","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","taxonID","nameAccordingToID","scientificName","nameAccordingTo","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","vernacularName","taxonRemarks"
21,"Rana grylio","Pig Frog",25.493,-80.34220013,"US",173442,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",21,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",21,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2819702,566112,"UTM 17","World Geodetic System of 1984",25.493,-80.34220013,"World Geodetic System of 1984",71,1e-05,173442,173442,"Rana grylio","Integrated Taxonomic Information System (ITIS), 2013.","Rana","grylio","","Species","Stejneger, 1901","Pig Frog","Rana grylio"
22,"Bufo marinus","Cant Toad",25.51982,-80.33235109,"US",173489,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",22,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",22,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2822677,567087,"UTM 17","World Geodetic System of 1984",25.51982,-80.33235109,"World Geodetic System of 1984",71,1e-05,173489,173489,"Bufo marinus","Integrated Taxonomic Information System (ITIS), 2013.","Bufo","marinus","","Species","(Linnaeus, 1758)","Cant Toad","Bufo marinus"
23,"Hyla cinerea","Green Treefrog",25.51982,-80.33235109,"US",173505,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",23,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",23,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2822677,567087,"UTM 17","World Geodetic System of 1984",25.51982,-80.33235109,"World Geodetic System of 1984",71,1e-05,173505,173505,"Hyla cinerea","Integrated Taxonomic Information System (ITIS), 2013.","Hyla","cinerea","","Species","(Schneider, 1799)","Green Treefrog","Hyla cinerea"
24,"Hyla squirella","Squirrel Treefrog",25.51982,-80.33235109,"US",173504,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",24,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",24,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2822677,567087,"UTM 17","World Geodetic System of 1984",25.51982,-80.33235109,"World Geodetic System of 1984",71,1e-05,173504,173504,"Hyla squirella","Integrated Taxonomic Information System (ITIS), 2013.","Hyla","squirella","","Species","Bosc in Daudin, 1800","Squirrel Treefrog","Hyla squirella"
25,"Acris gryllus","Cricket Frog",25.48425,-80.3464362,"US",173518,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-08-12","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",25,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",25,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-08-12",2002,8,12,"8/12/2002","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173518,173518,"Acris gryllus","Integrated Taxonomic Information System (ITIS), 2013.","Acris","gryllus","","Species","(LeConte, 1825)","Cricket Frog","Acris gryllus"
26,"Bufo marinus","Cane Toad",25.48425,-80.3464362,"US",173489,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-08-12","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",26,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",26,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-08-12",2002,8,12,"8/12/2002","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173489,173489,"Bufo marinus","Integrated Taxonomic Information System (ITIS), 2013.","Bufo","marinus","","Species","(Linnaeus, 1758)","Cane Toad","Bufo marinus"
27,"Hyla cinerea","Green Treefrog",25.48425,-80.3464362,"US",173505,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-08-12","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",27,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",27,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-08-12",2002,8,12,"8/12/2002","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173505,173505,"Hyla cinerea","Integrated Taxonomic Information System (ITIS), 2013.","Hyla","cinerea","","Species","(Schneider, 1799)","Green Treefrog","Hyla cinerea"
28,"Hyla squirella","Squirrel Treefrog",25.48425,-80.3464362,"US",173504,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-08-12","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",28,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",28,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-08-12",2002,8,12,"8/12/2002","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173504,173504,"Hyla squirella","Integrated Taxonomic Information System (ITIS), 2013.","Hyla","squirella","","Species","Bosc in Daudin, 1800","Squirrel Treefrog","Hyla squirella"
29,"Rana grylio","Pig Frog",25.48425,-80.3464362,"US",173442,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-08-12","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",29,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",29,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-08-12",2002,8,12,"8/12/2002","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173442,173442,"Rana grylio","Integrated Taxonomic Information System (ITIS), 2013.","Rana","grylio","","Species","Stejneger, 1901","Pig Frog","Rana grylio"
30,"Hyla cinerea","Green Treefrog",25.46685,-80.3461622,"US",173505,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-08-12","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",30,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",30,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-08-12",2002,8,12,"8/12/2002","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173505,173505,"Hyla cinerea","Integrated Taxonomic Information System (ITIS), 2013.","Hyla","cinerea","","Species","(Schneider, 1799)","Green Treefrog","Hyla cinerea"
31,"Osteopilus septentrionalis","Cuban Treefrog",25.46685,-80.3461622,"US",173538,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-08-12","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",31,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",31,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-08-12",2002,8,12,"8/12/2002","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
32,"Rana grylio","Pig Frog",25.46685,-80.3461622,"US",173442,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-08-12","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",32,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",32,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-08-12",2002,8,12,"8/12/2002","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173442,173442,"Rana grylio","Integrated Taxonomic Information System (ITIS), 2013.","Rana","grylio","","Species","Stejneger, 1901","Pig Frog","Rana grylio"
33,"Osteopilus septentrionalis","Cuban Treefrog",25.49298,-80.34536419,"US",173538,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-08-12","Marquette","<--BISON | GBIF-->",33,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",33,"60 cm (downed tree); Mainland (trail to 302)","Marquette",1,"Opportunistic Encounter","2002-08-12",2002,8,12,"8/12/2002","US",2819698,565794,"UTM 17","World Geodetic System of 1984",25.49298,-80.34536419,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
